         ns       /testbench/out    
          delta                     
    1377690  +2            -3341 
    1380090  +2            -3911 
    1382490  +2            -4464 
    1384890  +2            -5009 
    1387290  +2            -5552 
    1389690  +2            -6094 
    1392090  +2            -6630 
    1394490  +2            -7155 
    1396890  +2            -7668 
    1399290  +2            -8172 
    1401690  +2            -8675 
    1404090  +2            -9192 
    1406490  +2            -9740 
    1408890  +2           -10331 
    1411290  +2           -10971 
    1413690  +2           -11657 
    1416090  +2           -12373 
    1418490  +2           -13097 
    1420890  +2           -13804 
    1423290  +2           -14470 
    1425690  +2           -15080 
    1428090  +2           -15630 
    1430490  +2           -16127 
    1432890  +2           -16585 
    1435290  +2           -17025 
    1437690  +2           -17468 
    1440090  +2           -17931 
    1442490  +2           -18423 
    1444890  +2           -18943 
    1447290  +2           -19484 
    1449690  +2           -20036 
    1452090  +2           -20584 
    1454490  +2           -21116 
    1456890  +2           -21623 
    1459290  +2           -22096 
    1461690  +2           -22527 
    1464090  +2           -22909 
    1466490  +2           -23236 
    1468890  +2           -23502 
    1471290  +2           -23701 
    1473690  +2           -23830 
    1476090  +2           -23890 
    1478490  +2           -23885 
    1480890  +2           -23823 
    1483290  +2           -23712 
    1485690  +2           -23557 
    1488090  +2           -23359 
    1490490  +2           -23113 
    1492890  +2           -22810 
    1495290  +2           -22440 
    1497690  +2           -21993 
    1500090  +2           -21463 
    1502490  +2           -20850 
    1504890  +2           -20162 
    1507290  +2           -19409 
    1509690  +2           -18602 
    1512090  +2           -17754 
    1514490  +2           -16876 
    1516890  +2           -15979 
    1519290  +2           -15075 
    1521690  +2           -14179 
    1524090  +2           -13308 
    1526490  +2           -12479 
    1528890  +2           -11709 
    1531290  +2           -11009 
    1533690  +2           -10379 
    1536090  +2            -9813 
    1538490  +2            -9295 
    1540890  +2            -8805 
    1543290  +2            -8326 
    1545690  +2            -7847 
    1548090  +2            -7365 
    1550490  +2            -6883 
    1552890  +2            -6410 
    1555290  +2            -5956 
    1557690  +2            -5525 
    1560090  +2            -5111 
    1562490  +2            -4701 
    1564890  +2            -4274 
    1567290  +2            -3809 
    1569690  +2            -3287 
    1572090  +2            -2696 
    1574490  +2            -2035 
    1576890  +2            -1314 
    1579290  +2             -551 
    1581690  +2              229 
    1584090  +2             1001 
    1586490  +2             1744 
    1588890  +2             2442 
    1591290  +2             3087 
    1593690  +2             3680 
    1596090  +2             4226 
    1598490  +2             4735 
    1600890  +2             5220 
    1603290  +2             5691 
    1605690  +2             6156 
    1608090  +2             6621 
    1610490  +2             7092 
    1612890  +2             7573 
    1615290  +2             8069 
    1617690  +2             8584 
    1620090  +2             9124 
    1622490  +2             9694 
    1624890  +2            10295 
    1627290  +2            10923 
    1629690  +2            11570 
    1632090  +2            12224 
    1634490  +2            12870 
    1636890  +2            13496 
    1639290  +2            14095 
    1641690  +2            14663 
    1644090  +2            15203 
    1646490  +2            15720 
    1648890  +2            16219 
    1651290  +2            16701 
    1653690  +2            17164 
    1656090  +2            17605 
    1658490  +2            18021 
    1660890  +2            18411 
    1663290  +2            18778 
    1665690  +2            19131 
    1668090  +2            19483 
    1670490  +2            19845 
    1672890  +2            20223 
    1675290  +2            20611 
    1677690  +2            20995 
    1680090  +2            21352 
    1682490  +2            21655 
    1684890  +2            21878 
    1687290  +2            22002 
    1689690  +2            22018 
    1692090  +2            21929 
    1694490  +2            21747 
    1696890  +2            21489 
    1699290  +2            21173 
    1701690  +2            20814 
    1704090  +2            20424 
    1706490  +2            20007 
    1708890  +2            19562 
    1711290  +2            19084 
    1713690  +2            18566 
    1716090  +2            18001 
    1718490  +2            17382 
    1720890  +2            16703 
    1723290  +2            15964 
    1725690  +2            15170 
    1728090  +2            14330 
    1730490  +2            13460 
    1732890  +2            12578 
    1735290  +2            11705 
    1737690  +2            10860 
    1740090  +2            10058 
    1742490  +2             9309 
    1744890  +2             8616 
    1747290  +2             7981 
    1749690  +2             7403 
    1752090  +2             6879 
    1754490  +2             6406 
    1756890  +2             5980 
    1759290  +2             5594 
    1761690  +2             5237 
    1764090  +2             4894 
    1766490  +2             4547 
    1768890  +2             4178 
    1771290  +2             3774 
    1773690  +2             3327 
    1776090  +2             2835 
    1778490  +2             2305 
    1780890  +2             1750 
    1783290  +2             1182 
    1785690  +2              610 
    1788090  +2               38 
    1790490  +2             -536 
    1792890  +2            -1119 
    1795290  +2            -1720 
    1797690  +2            -2344 
    1800090  +2            -2991 
    1802490  +2            -3657 
    1804890  +2            -4330 
    1807290  +2            -4996 
    1809690  +2            -5642 
    1812090  +2            -6255 
    1814490  +2            -6827 
    1816890  +2            -7355 
    1819290  +2            -7840 
    1821690  +2            -8286 
    1824090  +2            -8702 
    1826490  +2            -9101 
    1828890  +2            -9497 
    1831290  +2            -9906 
    1833690  +2           -10344 
    1836090  +2           -10825 
    1838490  +2           -11359 
    1840890  +2           -11948 
    1843290  +2           -12583 
    1845690  +2           -13247 
    1848090  +2           -13919 
    1850490  +2           -14574 
    1852890  +2           -15192 
    1855290  +2           -15761 
    1857690  +2           -16278 
    1860090  +2           -16749 
    1862490  +2           -17186 
    1864890  +2           -17604 
    1867290  +2           -18015 
    1869690  +2           -18424 
    1872090  +2           -18831 
    1874490  +2           -19229 
    1876890  +2           -19610 
    1879290  +2           -19965 
    1881690  +2           -20288 
    1884090  +2           -20578 
    1886490  +2           -20840 
    1888890  +2           -21081 
    1891290  +2           -21306 
    1893690  +2           -21515 
    1896090  +2           -21702 
    1898490  +2           -21856 
    1900890  +2           -21960 
    1903290  +2           -21998 
    1905690  +2           -21955 
    1908090  +2           -21822 
    1910490  +2           -21597 
    1912890  +2           -21284 
    1915290  +2           -20892 
    1917690  +2           -20434 
    1920090  +2           -19921 
    1922490  +2           -19362 
    1924890  +2           -18764 
    1927290  +2           -18133 
    1929690  +2           -17474 
    1932090  +2           -16791 
    1934490  +2           -16090 
    1936890  +2           -15376 
    1939290  +2           -14652 
    1941690  +2           -13921 
    1944090  +2           -13183 
    1946490  +2           -12436 
    1948890  +2           -11681 
    1951290  +2           -10919 
    1953690  +2           -10154 
    1956090  +2            -9396 
    1958490  +2            -8659 
